Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41.0,1.0900723109854232e-05,Medium (24-72h)
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10.0,1.1225453843575079e-05,Fast (<24h)
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37.0,0.00010864456798330108,Medium (24-72h)
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41.0,0.000535528874979892,Medium (24-72h)
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35.0,1.0989785326536197e-05,Medium (24-72h)
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51.0,0.00021628124827801555,Medium (24-72h)
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55.0,0.0003252240537518708,Medium (24-72h)
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57.0,7.392906303151783e-05,Medium (24-72h)
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29.0,0.00012154923337495205,Medium (24-72h)
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25.0,8.175848146147058e-05,Medium (24-72h)
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34.0,4.085824644443948e-05,Medium (24-72h)
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25.0,8.048586169362163e-05,Medium (24-72h)
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24.0,9.094630411201944e-05,Fast (<24h)
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36.0,9.778599892668334e-05,Medium (24-72h)
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40.0,0.00014783010735080934,Medium (24-72h)
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38.0,0.000189569622075369,Medium (24-72h)
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71.0,0.0002643576445285809,Medium (24-72h)
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54.0,0.00011955538048626907,Medium (24-72h)
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35.0,0.00018030949943007284,Medium (24-72h)
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23.0,0.00019105050663904575,Fast (<24h)
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62.0,0.0001156482450954555,Medium (24-72h)
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37.0,0.00024466663594894714,Medium (24-72h)
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22.0,0.00041848515011527694,Fast (<24h)
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62.0,5.065884434511337e-05,Medium (24-72h)
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61.0,0.0002691667926810827,Medium (24-72h)
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32.0,0.0009659918621590395,Medium (24-72h)
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47.0,0.0003007555139130564,Medium (24-72h)
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58.0,0.03716981132075472,Medium (24-72h)
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64.0,8.366489685839532e-05,Medium (24-72h)
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33.0,0.0003765082861863516,Medium (24-72h)
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12.0,3.57097789421543e-05,Fast (<24h)
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37.0,9.267327420110743e-05,Medium (24-72h)
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68.0,0.00027603102385495104,Medium (24-72h)
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2.0,0.00028641181654939037,Fast (<24h)
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55.0,0.010383521110731762,Medium (24-72h)
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31.0,0.00014177638682741055,Medium (24-72h)
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72.0,7.915743601997466e-05,Medium (24-72h)
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38.0,6.839227370452506e-05,Medium (24-72h)
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1.0,7.448070792411831e-05,Fast (<24h)
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50.0,4.80267223912517e-05,Medium (24-72h)
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43.0,8.837954994214528e-05,Medium (24-72h)
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61.0,6.750176859157284e-05,Medium (24-72h)
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22.0,5.083958358290504e-05,Fast (<24h)
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35.0,0.00011889906418263547,Medium (24-72h)
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51.0,9.036300386669597e-05,Medium (24-72h)
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21.0,7.329299377861797e-05,Fast (<24h)
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64.0,8.466004412314956e-05,Medium (24-72h)
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64.0,0.0005311840256448276,Medium (24-72h)
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69.0,4.646570937058473e-06,Medium (24-72h)
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12.0,0.0008280854324936691,Fast (<24h)
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31.0,3.675127243878047e-05,Medium (24-72h)
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45.0,7.803858694673128e-05,Medium (24-72h)
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38.0,0.00018624244054384702,Medium (24-72h)
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55.0,0.00013387486212874882,Medium (24-72h)
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26.0,0.00019510763927091358,Medium (24-72h)
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11.0,3.9576311402601515e-05,Fast (<24h)
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20.0,0.0002837470774308898,Fast (<24h)
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69.0,4.4848097172068394e-05,Medium (24-72h)
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20.0,0.00020043023823995614,Fast (<24h)
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22.0,7.756323258849449e-05,Fast (<24h)
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32.0,1.683243585012788e-05,Medium (24-72h)
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11.0,0.00016096988002349191,Fast (<24h)
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15.0,1.6663979638493396e-05,Fast (<24h)
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54.0,6.715744990108071e-05,Medium (24-72h)
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39.0,4.22901330304288e-05,Medium (24-72h)
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63.0,0.00012828191073967346,Medium (24-72h)
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34.0,7.463469715859244e-05,Medium (24-72h)
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51.0,9.90297089126738e-05,Medium (24-72h)
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50.0,3.345210201196724e-05,Medium (24-72h)
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43.0,1.4590077128232365e-05,Medium (24-72h)
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52.0,1.013950756387164e-05,Medium (24-72h)
UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45.0,0.030407523510971788,Medium (24-72h)
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42.0,0.0009263311451495259,Medium (24-72h)
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64.0,3.469111781856774e-05,Medium (24-72h)
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30.0,0.00012172263317474332,Medium (24-72h)
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35.0,0.00013716369880753442,Medium (24-72h)
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58.0,4.7101733469291706e-05,Medium (24-72h)
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16.0,6.209937279633476e-07,Fast (<24h)
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21.0,0.0003373343052675532,Fast (<24h)
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55.0,0.00014852480816235749,Medium (24-72h)
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56.0,8.857683074957583e-05,Medium (24-72h)
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39.0,0.0001721796686670977,Medium (24-72h)
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63.0,0.0004244388450134891,Medium (24-72h)
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63.0,9.965361244345107e-05,Medium (24-72h)
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71.0,6.821653791295912e-05,Medium (24-72h)
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70.0,9.768453040919852e-05,Medium (24-72h)
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38.0,0.00011494772854184191,Medium (24-72h)
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29.0,0.0005409553782753661,Medium (24-72h)
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41.0,9.204619525790477e-05,Medium (24-72h)
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6.0,8.587080517982726e-05,Fast (<24h)
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48.0,6.870329393871821e-05,Medium (24-72h)
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29.0,0.0005165300621596348,Medium (24-72h)
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64.0,8.912504508178922e-05,Medium (24-72h)
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72.0,7.689269601328087e-05,Medium (24-72h)
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24.0,2.2926670549533765e-06,Fast (<24h)
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44.0,1.8894612256887336e-05,Medium (24-72h)
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5.0,0.00040376268045259466,Fast (<24h)
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58.0,0.00036793298281107565,Medium (24-72h)
UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17.0,0.00038789115119276633,Fast (<24h)
