Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed,Cluster,Threat Profile
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32.0,0.0001096976599265,Medium (24-72h),4,Standard: Moderate Impact
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30.0,7.416234744430313e-05,Medium (24-72h),2,Critical: High Impact on Both
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52.0,8.123303667736835e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53.0,9.29720557972564e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24.0,2.7910111736431284e-05,Fast (<24h),0,Widespread: High User Impact
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9.0,0.0001455922982141,Fast (<24h),2,Critical: High Impact on Both
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61.0,9.140090958825382e-05,Medium (24-72h),5,Critical: High Impact on Both
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11.0,9.757304721333498e-05,Fast (<24h),2,Critical: High Impact on Both
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34.0,7.444309437019035e-05,Medium (24-72h),4,Standard: Moderate Impact
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61.0,0.0005042519500322,Medium (24-72h),3,Standard: Moderate Impact
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21.0,0.0001012577264673,Fast (<24h),2,Critical: High Impact on Both
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27.0,0.0001275301686632,Medium (24-72h),4,Standard: Moderate Impact
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31.0,2.40014062795792e-05,Medium (24-72h),0,Widespread: High User Impact
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70.0,2.7407759951742415e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12.0,0.0003849383314985,Fast (<24h),1,Targeted: High Financial Impact
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62.0,0.0001382408186508,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71.0,0.0006887197113882,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3.0,0.0004043951064793,Fast (<24h),1,Targeted: High Financial Impact
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57.0,0.0001186128738923,Medium (24-72h),5,Critical: High Impact on Both
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69.0,5.248820764055146e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64.0,0.0001838713198448,Medium (24-72h),5,Critical: High Impact on Both
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19.0,9.857989797325246e-05,Fast (<24h),2,Critical: High Impact on Both
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36.0,2.5575351047796844e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65.0,5.678453665438724e-05,Medium (24-72h),3,Standard: Moderate Impact
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29.0,3.4860260298792755e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40.0,2.9987113882980008e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31.0,0.0001978116563857,Medium (24-72h),1,Targeted: High Financial Impact
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70.0,0.0005253846424673,Medium (24-72h),3,Standard: Moderate Impact
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17.0,2.2063954994407825e-05,Fast (<24h),0,Widespread: High User Impact
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30.0,0.0049672064542341,Medium (24-72h),1,Targeted: High Financial Impact
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51.0,0.0001292097236725,Medium (24-72h),5,Critical: High Impact on Both
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23.0,1.3508882089974158e-05,Fast (<24h),0,Widespread: High User Impact
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10.0,9.599902075880064e-05,Fast (<24h),2,Critical: High Impact on Both
UK,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57.0,9.601460681231504e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56.0,0.0002512805675922,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65.0,0.0002264840182648,Medium (24-72h),3,Standard: Moderate Impact
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14.0,0.0010014487310189,Fast (<24h),1,Targeted: High Financial Impact
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24.0,0.0008743062036445,Fast (<24h),4,Standard: Moderate Impact
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65.0,0.0001375839574465,Medium (24-72h),3,Standard: Moderate Impact
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52.0,0.0001542297028287,Medium (24-72h),5,Critical: High Impact on Both
UK,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32.0,0.0001811117160817,Medium (24-72h),1,Targeted: High Financial Impact
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55.0,0.0005451079667887,Medium (24-72h),1,Targeted: High Financial Impact
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11.0,0.0002606606892287,Fast (<24h),1,Targeted: High Financial Impact
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63.0,0.00011856570104,Medium (24-72h),5,Critical: High Impact on Both
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16.0,0.0002660132448641,Fast (<24h),1,Targeted: High Financial Impact
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28.0,2.8774984839418315e-05,Medium (24-72h),0,Widespread: High User Impact
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29.0,6.314823313446535e-05,Medium (24-72h),2,Critical: High Impact on Both
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41.0,4.6254953989556224e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66.0,6.97488972406623e-05,Medium (24-72h),3,Standard: Moderate Impact
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63.0,0.0027608488400833,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10.0,6.353126101452988e-05,Fast (<24h),4,Standard: Moderate Impact
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25.0,9.384498643127536e-05,Medium (24-72h),2,Critical: High Impact on Both
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56.0,0.0001112806529668,Medium (24-72h),3,Standard: Moderate Impact
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12.0,0.0010780826047633,Fast (<24h),4,Standard: Moderate Impact
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9.0,2.667083041363272e-05,Fast (<24h),0,Widespread: High User Impact
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40.0,9.094106264443026e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20.0,2.415221358862551e-05,Fast (<24h),4,Standard: Moderate Impact
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66.0,1.1402755141561271e-05,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70.0,9.49129829234982e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5.0,6.403274251576064e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54.0,0.0001157160927473,Medium (24-72h),5,Critical: High Impact on Both
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27.0,7.298823793802032e-05,Medium (24-72h),2,Critical: High Impact on Both
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66.0,0.0002006939544492,Medium (24-72h),3,Standard: Moderate Impact
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36.0,6.405238281994801e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68.0,0.0002087799185682,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69.0,9.653960288854642e-05,Medium (24-72h),3,Standard: Moderate Impact
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4.0,0.0001135009879125,Fast (<24h),2,Critical: High Impact on Both
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66.0,0.0001086826233975,Medium (24-72h),5,Critical: High Impact on Both
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3.0,0.0001484214467712,Fast (<24h),2,Critical: High Impact on Both
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41.0,0.0001195626765963,Medium (24-72h),5,Critical: High Impact on Both
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42.0,0.0002075786703257,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55.0,1.5813141034367925e-06,Medium (24-72h),0,Widespread: High User Impact
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53.0,0.0003828327915765,Medium (24-72h),3,Standard: Moderate Impact
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1.0,0.0004462334371535,Fast (<24h),1,Targeted: High Financial Impact
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15.0,0.0001502170464772,Fast (<24h),2,Critical: High Impact on Both
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36.0,0.0002901736486462,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49.0,2.3449627902493843e-05,Medium (24-72h),0,Widespread: High User Impact
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11.0,4.886916866950144e-05,Fast (<24h),4,Standard: Moderate Impact
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25.0,3.654396983240108e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18.0,0.0004932090581072,Fast (<24h),1,Targeted: High Financial Impact
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30.0,8.893395326498076e-05,Medium (24-72h),2,Critical: High Impact on Both
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35.0,0.0010890261070766,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41.0,1.174609460401533e-05,Medium (24-72h),0,Widespread: High User Impact
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19.0,0.0001042603850892,Fast (<24h),2,Critical: High Impact on Both
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41.0,1.0900723109854232e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10.0,1.122545384357508e-05,Fast (<24h),4,Standard: Moderate Impact
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37.0,0.0001086445679833,Medium (24-72h),5,Critical: High Impact on Both
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41.0,0.0005355288749798,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35.0,1.0989785326536195e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51.0,0.000216281248278,Medium (24-72h),3,Standard: Moderate Impact
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55.0,0.0003252240537518,Medium (24-72h),1,Targeted: High Financial Impact
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57.0,7.392906303151783e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29.0,0.0001215492333749,Medium (24-72h),1,Targeted: High Financial Impact
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25.0,8.175848146147058e-05,Medium (24-72h),2,Critical: High Impact on Both
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34.0,4.085824644443948e-05,Medium (24-72h),4,Standard: Moderate Impact
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25.0,8.048586169362163e-05,Medium (24-72h),2,Critical: High Impact on Both
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24.0,9.094630411201944e-05,Fast (<24h),2,Critical: High Impact on Both
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36.0,9.778599892668334e-05,Medium (24-72h),2,Critical: High Impact on Both
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40.0,0.0001478301073508,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38.0,0.0001895696220753,Medium (24-72h),3,Standard: Moderate Impact
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71.0,0.0002643576445285,Medium (24-72h),5,Critical: High Impact on Both
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54.0,0.0001195553804862,Medium (24-72h),5,Critical: High Impact on Both
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35.0,0.00018030949943,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23.0,0.000191050506639,Fast (<24h),1,Targeted: High Financial Impact
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62.0,0.0001156482450954,Medium (24-72h),3,Standard: Moderate Impact
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37.0,0.0002446666359489,Medium (24-72h),1,Targeted: High Financial Impact
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22.0,0.0004184851501152,Fast (<24h),4,Standard: Moderate Impact
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62.0,5.065884434511337e-05,Medium (24-72h),3,Standard: Moderate Impact
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61.0,0.000269166792681,Medium (24-72h),3,Standard: Moderate Impact
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32.0,0.000965991862159,Medium (24-72h),4,Standard: Moderate Impact
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47.0,0.000300755513913,Medium (24-72h),1,Targeted: High Financial Impact
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58.0,0.0371698113207547,Medium (24-72h),3,Standard: Moderate Impact
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64.0,8.366489685839532e-05,Medium (24-72h),5,Critical: High Impact on Both
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33.0,0.0003765082861863,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12.0,3.57097789421543e-05,Fast (<24h),4,Standard: Moderate Impact
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37.0,9.267327420110744e-05,Medium (24-72h),2,Critical: High Impact on Both
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68.0,0.0002760310238549,Medium (24-72h),3,Standard: Moderate Impact
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2.0,0.0002864118165493,Fast (<24h),4,Standard: Moderate Impact
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55.0,0.0103835211107317,Medium (24-72h),1,Targeted: High Financial Impact
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31.0,0.0001417763868274,Medium (24-72h),4,Standard: Moderate Impact
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72.0,7.915743601997466e-05,Medium (24-72h),5,Critical: High Impact on Both
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38.0,6.839227370452506e-05,Medium (24-72h),4,Standard: Moderate Impact
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1.0,7.448070792411831e-05,Fast (<24h),4,Standard: Moderate Impact
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50.0,4.80267223912517e-05,Medium (24-72h),0,Widespread: High User Impact
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43.0,8.837954994214528e-05,Medium (24-72h),5,Critical: High Impact on Both
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61.0,6.750176859157284e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22.0,5.083958358290504e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35.0,0.0001188990641826,Medium (24-72h),2,Critical: High Impact on Both
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51.0,9.036300386669596e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21.0,7.329299377861797e-05,Fast (<24h),2,Critical: High Impact on Both
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64.0,8.466004412314956e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64.0,0.0005311840256448,Medium (24-72h),3,Standard: Moderate Impact
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69.0,4.646570937058473e-06,Medium (24-72h),0,Widespread: High User Impact
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12.0,0.0008280854324936,Fast (<24h),1,Targeted: High Financial Impact
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31.0,3.675127243878047e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45.0,7.803858694673128e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38.0,0.0001862424405438,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55.0,0.0001338748621287,Medium (24-72h),5,Critical: High Impact on Both
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26.0,0.0001951076392709,Medium (24-72h),4,Standard: Moderate Impact
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11.0,3.957631140260152e-05,Fast (<24h),2,Critical: High Impact on Both
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20.0,0.0002837470774308,Fast (<24h),1,Targeted: High Financial Impact
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69.0,4.48480971720684e-05,Medium (24-72h),3,Standard: Moderate Impact
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20.0,0.0002004302382399,Fast (<24h),1,Targeted: High Financial Impact
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22.0,7.756323258849449e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32.0,1.683243585012788e-05,Medium (24-72h),0,Widespread: High User Impact
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11.0,0.0001609698800234,Fast (<24h),2,Critical: High Impact on Both
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15.0,1.6663979638493396e-05,Fast (<24h),0,Widespread: High User Impact
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54.0,6.715744990108071e-05,Medium (24-72h),0,Widespread: High User Impact
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39.0,4.22901330304288e-05,Medium (24-72h),0,Widespread: High User Impact
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63.0,0.0001282819107396,Medium (24-72h),5,Critical: High Impact on Both
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34.0,7.463469715859244e-05,Medium (24-72h),2,Critical: High Impact on Both
